StateCode,MSN,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
FL,REPRB,35680,34417,35826,38613,39016,39916,42760,44550,49556,51489,51035,49968,54389,56250,52429,50007,56507,59953,65357,69419,90049,83117,104674,91705,108740,110698,116356,107606,113802,232672,199454,213479,231354,217662,216276,221028,241286,232357,206669,205497,196532,159982,176582,191074,182604,186356,189168,194870,201330,221220,235768,241187,239435,250008
FL,ROPRB,35680,34417,35826,38613,39016,39916,42760,44550,49556,51489,51035,49968,54389,56250,52429,50007,56507,59953,65357,69419,90049,83117,104674,91705,108740,110698,116356,107606,113802,232672,199454,213479,231354,217662,216276,221028,241286,232357,206669,205497,196532,159982,176582,191074,182604,186356,189168,194870,201330,221220,235768,241187,239435,250008
FL,TEPRB,37861,36626,38296,41352,42667,48554,53484,53813,58252,61597,68429,82213,172712,336802,396757,445543,476207,590465,593612,589635,591982,500518,508763,401701,477414,446426,420409,366834,450490,510201,474534,464256,537083,533761,541341,565354,554160,519205,576149,571981,569104,523390,554521,537425,529329,505104,534284,516207,551059,530065,508897,498641,439862,540083
FL,TETCB,809836,848978,949692,994700,1049840,1111764,1180501,1223757,1349486,1453825,1577497,1674176,1804065,1995392,1929127,1939945,2062141,2217646,2327477,2422815,2512464,2482482,2402597,2457726,2551499,2699251,2782201,2870739,3042242,3249116,3281327,3246402,3308518,3340222,3461953,3604390,3691564,3712136,3841606,3892854,4048341,4036754,4150639,4164080,4317499,4383799,4438458,4424294,4275540,4119016,4278355,4138179,4026665,4077891
GA,CLPRB,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1858,4671,5675,2838,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,EMFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,53,56,3457,13786,14438,14099,9984,8151
GA,NGMPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,34063,45666,39985,46798,55429,92015,79799,73144,84771,59331,107602,76574,159333,160615,264167,262401,272752,293149,286059,302346,322151,314302,319170,329212,328946,338660,351739,324827,346601,351921,329092,333981,341364,331235,331368,350268,338052,355674,343801
GA,PAPRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,REPRB,96016,94590,96771,103171,118296,108022,109456,109475,106371,105812,98222,109007,114745,125605,121581,123427,135157,136122,138170,149144,144038,122710,143870,151109,159451,146207,141713,146038,138695,218303,235501,226915,234487,240000,240830,249122,256865,262485,256581,231125,222198,192077,283724,221690,226770,216025,207270,200599,173165,194347,211515,211291,199435,237037
GA,ROPRB,96016,94590,96771,103171,118296,108022,109456,109475,106371,105812,98222,109007,114745,125605,121581,123427,135157,136122,138170,149144,144038,122710,143870,151109,159451,146207,141713,146038,138695,218303,235501,226915,234487,240000,240830,249122,256865,262485,256581,231125,222198,192077,283724,221690,226770,216007,207217,200543,169707,180561,197076,197192,189452,228886
GA,TEPRB,96116,94691,96771,103171,118296,108022,109456,109475,106371,105812,98222,109007,114745,125605,122068,159348,185494,181782,187805,205226,236053,202508,217014,235880,218782,253809,218287,305371,299310,482469,497901,499667,527636,526059,543176,571273,571167,581655,585793,560072,560859,543816,608551,568291,578691,545116,541251,541964,504400,525715,561782,549343,555110,580838
GA,TETCB,701562,706226,765534,803621,857725,917780,998188,1062891,1154138,1228336,1281009,1349064,1435826,1555418,1495883,1490137,1552929,1629162,1683507,1730075,1717557,1694616,1680042,1749505,1875367,1931245,1953859,2049217,2138471,2219783,2229704,2222569,2266653,2420189,2436931,2617424,2774219,2752080,2784476,2802868,2919531,2819162,2934544,2954883,3093790,3108441,3089836,3080034,2949326,2912855,3101056,2989086,2776201,2795395
HI,CLPRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,EMFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,NGMPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,PAPRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HI,REPRB,292,258,214,446,1429,1265,1309,1389,1657,1773,1559,1283,1491,1528,1550,1498,1663,1355,1143,1258,12808,13571,13379,14920,15372,15307,17315,18834,20427,28887,27951,27532,26818,27850,25428,24636,24121,22540,21701,21821,20451,12469,10550,13429,13919,13102,14190,15285,16354,16427,16222,18361,20545,25591
HI,ROPRB,292,258,214,446,1429,1265,1309,1389,1657,1773,1559,1283,1491,1528,1550,1498,1663,1355,1143,1258,12808,13571,13379,14920,15372,15307,17315,18834,20427,28887,27951,27532,26818,27850,25428,24636,24121,22540,21701,21821,20451,12469,10550,13429,13919,13102,14190,15285,16354,16427,16222,18361,20545,25591
HI,TEPRB,292,258,214,446,1429,1265,1309,1389,1657,1773,1559,1283,1491,1528,1550,1498,1663,1355,1143,1258,12808,13571,13379,14920,15372,15307,17315,18834,20427,28887,27951,27532,26818,27850,25428,24636,24121,22540,21701,21821,20451,12469,10550,13429,13919,13102,14190,15285,16354,16427,16222,18361,20545,25591
HI,TETCB,94855,113772,108306,114308,123481,130589,145505,163868,182801,190890,196979,211699,218088,224342,212139,214429,220087,233361,236977,256672,262456,236808,218287,221347,232426,248555,245329,249461,289692,309779,321434,295171,306060,282899,299373,297065,283295,273614,273560,269502,273495,270325,284900,302308,316251,326358,328802,339906,279150,274874,273783,283355,278139,277111
IA,CLPRB,22058,19146,23339,25053,20096,21542,21170,18237,18093,18650,20385,19394,17576,11297,11312,11825,12359,9916,8824,11719,10284,14717,11514,7861,10335,11820,9649,9330,7043,8796,7717,6771,5674,3421,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,EMFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5359,6484,7981,10225,10189,18801,26227,26133,31619,31510,35090,44163,55011,61972,61754,61536,61319,61101,63315,63232,63150,63068,85199,121643,154821,209825,271830,325713,427139,499800,501316,472877,498288
IA,NGMPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14842,25235,27384,31102,13225,31432,27955,24309,25126,25177,29274,20467,31666,26348,33536,33221,31868,43475,35655,33981,42930,39191,41210,43541,39525,38041,46439,40234,47761,41559,51399,47362,53171,47398,55210,48937,46518,54572,45552,55597
IA,PAPRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,REPRB,15884,15713,15580,13403,12798,15160,14994,14243,16244,15250,16080,16122,17235,16691,16976,17029,15187,17088,19287,18947,58556,65235,66306,72311,77577,78655,107397,118754,122555,91329,88503,91919,100239,106281,114015,113121,119723,110180,107978,114185,109373,104930,113207,134131,172761,212564,263424,332871,398854,536844,626582,634608,632354,674917
IA,ROPRB,15884,15713,15580,13403,12798,15160,14994,14243,16244,15250,16080,16122,17235,16691,16976,17029,15187,17088,19287,18947,58556,59876,59822,64331,67352,68467,88596,92526,96422,59710,56993,56829,56076,51270,52044,51366,58187,48861,46877,50871,46140,41779,50139,48932,51118,57742,53599,61042,73142,109705,126782,133292,159477,176629
IA,TEPRB,37943,34859,38919,38456,32894,36702,36164,32480,34337,33900,36465,35516,34811,27988,43130,54089,54929,58106,41336,62098,96795,104262,102947,105350,117185,110943,148713,154433,163135,133347,128088,142166,141569,143683,157845,152311,160933,153721,147503,152226,155812,145164,160969,175691,224160,259926,316595,380270,454064,585781,673100,689180,677906,730513
IA,TETCB,602393,600462,626989,644807,670010,697362,699406,747655,782037,822106,850829,862715,904757,963155,950175,942635,980209,981154,963184,1039858,983984,969292,970038,953923,937293,898498,902493,907224,979000,941086,945871,982068,973339,1036303,1067942,1105871,1148606,1135217,1144665,1195217,1191823,1163633,1192857,1187459,1242975,1275632,1303413,1379867,1429757,1437938,1492454,1492718,1431509,1516483
ID,CLPRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,EMFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,753,796,870,873,822,689,805,717,720,877,828,333,577,666,606,714,769,1029,1184,519,0,0,233,5081,1693,7766,7583,6753,6939
ID,NGMPB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,PAPRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,REPRB,77688,70403,73984,73227,76892,79778,81379,82252,80804,76228,85735,89445,92776,97216,111472,118011,121380,85968,119334,113729,113407,115694,137242,152250,156347,132508,146627,101722,87512,124650,119510,116020,95133,126225,106699,139907,164235,179342,160202,167747,141448,105045,113779,109553,112379,121085,146509,125625,133546,134508,130652,176699,154813,138881
ID,ROPRB,77688,70403,73984,73227,76892,79778,81379,82252,80804,76228,85735,89445,92776,97216,111472,118011,121380,85968,119334,113729,113407,115694,137242,152250,155940,131755,145832,100852,86640,123828,118821,115215,94416,125505,105822,139080,163902,178765,159536,167141,140733,104276,112750,108368,111860,121085,146509,125392,128465,132815,122886,169116,148059,131942
ID,TEPRB,77688,70403,73984,73227,76892,79778,81379,82252,80804,76228,85735,89445,92776,97216,111472,118011,121380,85968,119334,113729,113407,115694,137242,152250,156347,132508,146627,101722,87512,124650,119510,116020,95133,126225,106699,139907,164235,179342,160202,167747,141448,105045,113779,109553,112379,121085,146509,125625,133546,134508,130652,176699,154813,138881
ID,TETCB,190689,202896,211209,213350,230469,234793,245125,266759,287259,286795,296413,311621,334056,337025,347839,358890,362236,366462,369965,384079,347717,361939,350377,345715,346845,354853,342169,345525,365738,399762,405414,415496,420072,435428,450151,463782,497525,499597,504435,527728,540023,501185,496504,469830,501973,510973,524237,541613,537686,504559,517968,519201,513162,529524
IL,CLPRB,1020689,1004461,1076411,1148539,1221511,1298323,1411276,1445953,1386190,1436828,1445642,1296524,1454611,1328293,1250179,1274516,1257808,1151662,1046959,1292838,1357156,1136610,1320155,1250606,1406384,1311336,1375045,1314790,1310536,1323209,1350262,1350461,1347558,929772,1184962,1081872,1055469,926669,900852,929031,775392,772290,758830,721185,722774,727433,740927,748745,758122,783300,767419,864228,1094204,1149607
IL,EMFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6199,20677,38846,46382,49730,52562,57458,57635,54316,45495,53189,60682,66004,69836,66903,27378,48244,56682,52422,62766,68629,93596,111879,105263,100839,103220,125941,139216,176040,178188,172637,173504,168895
IL,NGMPB,21185,18105,19340,17177,14286,13431,13129,9341,7954,6901,8807,931,2237,3021,2633,2609,2833,1821,2057,2947,3041,2454,2154,1873,2828,2477,3462,2553,1475,1657,844,662,534,504,484,481,415,428,328,291,264,242,255,249,246,238,241,1484,1269,1506,2225,3702,2148,2933
IL,NUETB,2958,6144,13870,11093,11710,11393,16358,9325,10380,9111,27600,47396,141019,218614,218667,245760,292243,307424,360238,298772,302604,325199,305891,305571,379243,415387,450809,524124,733298,791821,760711,753444,772156,823235,759385,824598,732840,535916,583254,854224,932749,964500,948761,987308,959869,973293,982498,1004100,994526,998562,1005374,1002694,1010189,1014926
IL,PAPRB,448578,445544,457017,433817,406974,369506,357634,343024,327068,294199,253733,226687,202269,177880,159807,151189,152378,148526,135500,126399,131672,139722,160718,169360,167434,175537,158021,139084,130361,118192,115733,110594,111957,100955,99458,93902,90335,93467,79646,69977,70795,58534,64380,67843,63707,59201,59885,55726,54798,52763,52600,50704,51666,55030
IL,REPRB,33020,32237,32864,34418,34491,35036,37080,37444,40029,41716,41064,40628,41490,43861,43952,42898,47471,51314,62925,64626,92366,103172,117555,145584,145655,150398,160460,171863,180027,149115,116948,126105,134419,121027,122484,120807,88200,102905,105217,104019,109803,112809,139902,158948,153595,136649,134624,163810,195546,245952,263297,265612,278414,297926
IL,ROPRB,33020,32237,32864,34418,34491,35036,37080,37444,40029,41716,41064,40628,41490,43861,43952,42898,47471,51314,62925,64626,92366,96973,96877,106738,99274,100668,107899,114405,122392,94799,71453,72916,73738,55022,52648,53904,60822,54661,48535,51597,47036,44180,46306,47069,48332,35810,31405,37869,56329,69911,85108,92975,104910,129031
IL,TEPRB,1526429,1506491,1599502,1645044,1688972,1727688,1835476,1845087,1771621,1788755,1776846,1612167,1841626,1771669,1675239,1716971,1752734,1660747,1607679,1785582,1886839,1707156,1906473,1872994,2101545,2055136,2147798,2152414,2355697,2383995,2344499,2341267,2366624,1975492,2166774,2121661,1967259,1659385,1669297,1957541,1889003,1908374,1912128,1935532,1900192,1896814,1918176,1973865,2004261,2082081,2090915,2186939,2436622,2520422
IL,TETCB,2527178,2562301,2659812,2723285,2853253,3030575,3189994,3315785,3451757,3635972,3698253,3724341,3931571,4021666,3958922,3863205,4022402,4102933,4203077,4054014,3771873,3550532,3396645,3475454,3504791,3437085,3420061,3475787,3706619,3619981,3581174,3645143,3623695,3729593,3747253,3857016,3941549,3916939,3828592,3998197,4016976,3886712,3901923,3927456,3974427,4119669,3969754,4077035,4075865,3856787,3957571,3948317,3837445,4011485
IN,CLPRB,346324,336695,350135,336561,336004,346925,386176,418406,412031,447693,496216,476892,578373,550911,514487,542752,548266,601876,522198,597456,670980,638524,694737,697958,821386,734611,729419,759526,696994,747397,797305,700941,679062,654657,690819,578143,657833,785240,812969,756640,621169,813161,789153,792236,786209,768995,783367,783017,803043,800172,790889,840986,826842,883260
IN,EMFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8865,9369,10242,10274,9682,8110,9481,8437,9177,10188,9730,3970,6975,8172,7537,9000,9816,13305,15519,14017,13393,13429,37006,80361,96528,111055,129454,128109,126081
IN,NGMPB,344,384,286,288,201,240,216,199,235,172,154,540,357,275,175,343,190,181,161,469,595,361,257,136,397,370,368,219,418,423,406,235,176,194,108,252,364,532,626,870,921,1090,1319,1591,3432,3191,2971,3685,4762,5001,6884,9184,8920,8057
IN,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,PAPRB,69913,66700,70047,69032,65441,66590,61579,58470,50414,45478,43425,38616,35554,30810,28530,26866,26854,30821,27196,27347,28872,27382,32265,30862,32051,29974,27602,21680,21257,19204,17400,17481,17493,16014,14454,16112,14633,14094,12806,11391,12168,11728,11380,10817,10179,10017,10283,10017,10782,10457,10643,11525,13630,13914
IN,REPRB,24556,24199,24089,24007,23168,23060,24315,27363,28677,29971,28494,27156,30826,32102,32017,31342,36021,38768,45814,51858,56145,59181,58101,63692,60540,69981,72081,76608,80322,69239,60101,60995,61853,52543,51415,52503,48052,45751,44184,43126,44025,49616,52536,55296,54891,58600,48948,71589,123791,150730,179145,200635,196629,201085
IN,ROPRB,24556,24199,24089,24007,23168,23060,24315,27363,28677,29971,28494,27156,30826,32102,32017,31342,36021,38768,45814,51858,56145,59181,58101,63692,60540,61116,62712,66365,70048,59556,51991,51514,53416,43365,41228,42774,44082,38776,36012,35589,35025,39801,39231,39777,40874,45207,35519,34584,43430,54202,68091,71181,68520,75004
IN,TEPRB,441137,427978,444556,429887,424814,436816,472286,504437,491358,523314,568289,543204,645110,614098,575209,601302,611331,671646,595370,677130,756592,725449,785360,792648,914373,834936,829471,858033,798991,836262,875212,779653,758583,723408,756796,647011,720882,845618,870584,812027,678284,875595,854388,859941,854711,840803,845569,868308,942379,966360,987561,1062329,1046021,1106316
IN,TETCB,1531067,1551659,1581586,1635716,1715404,1799062,1920148,1952147,2043557,2157196,2219865,2236310,2436007,2474655,2432314,2378215,2410904,2486593,2536343,2586227,2400599,2359623,2177836,2198089,2271233,2301534,2262840,2380921,2484610,2517335,2492407,2474930,2460381,2567909,2552598,2618508,2702858,2681875,2671800,2785909,2867541,2771322,2856345,2937259,2929687,2955181,2892681,2958302,2917670,2721362,2874574,2855551,2775442,2900031
KS,CLPRB,18923,14150,19498,24911,26914,27916,23910,24208,27021,27980,34671,24528,26147,23002,14282,9704,12090,18024,25496,16371,17102,29198,29671,28732,29151,20978,29480,40093,15705,18431,17410,10056,8855,8234,6945,6861,5592,8090,7458,8957,4316,3697,4351,3307,1665,3955,9591,9313,5139,4296,3069,840,388,541
KS,EMFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,1328,2496,2980,3195,3377,3691,3703,3489,2923,3417,3041,4379,4727,4450,1790,3101,3584,3261,3842,4135,8877,13933,15734,18579,24466,32296,61362,56456,62472,61298,57930,60901
KS,NGMPB,680279,696013,744555,785939,823792,850742,908770,935016,895967,947010,965023,956253,962524,961098,951323,903936,885083,839270,911533,863728,802898,701505,482231,495529,525540,575838,517601,541540,637435,649685,625207,705045,721567,752384,789962,802498,788050,748588,672279,627474,598229,546822,524577,481735,459051,434104,426435,416214,429219,401479,372639,356826,336282,322374
KS,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40960,73616,67572,70503,102753,83328,61422,88906,82977,89145,105723,86176,88469,109219,95687,94495,108050,94413,92648,105664,92055,97570,108762,88812,91710,99876,76585,86818,74902
KS,PAPRB,658027,650998,650041,632821,616262,607451,601680,575360,548129,514553,492147,455486,427715,384117,357808,342815,340541,333477,328199,330571,348876,381698,409045,415245,439228,437361,388797,347327,341179,321813,321482,330182,310955,287825,271046,253849,242376,231043,206138,168467,199885,196864,193604,197043,196498,194996,206874,212222,230045,228903,234714,240741,253709,271701
KS,REPRB,4123,3855,3670,3798,3674,3499,3529,3349,3459,3280,3730,3941,5702,6031,5915,5811,6526,6852,7540,7928,9088,8562,11049,11519,14177,14756,21920,21370,22757,18660,14892,15627,15375,15475,15280,15091,12576,11886,11660,11530,11916,13086,22198,26500,28343,31104,39702,49587,85137,91084,102530,106708,115879,160535
KS,ROPRB,4123,3855,3670,3798,3674,3499,3529,3349,3459,3280,3730,3941,5702,6031,5915,5811,6526,6852,7540,7928,9088,8164,9721,9024,11197,11561,18543,17679,19054,15170,11969,12210,12334,11095,10553,10641,10786,8784,8076,8269,8074,8951,13321,12567,12608,12525,15235,17292,23775,34627,40058,45410,57949,99634
KS,TEPRB,1361353,1365016,1417765,1447469,1470641,1489608,1537890,1537933,1474576,1492823,1495572,1440207,1422089,1374247,1329329,1262266,1244240,1197624,1272768,1218598,1177964,1120963,931996,951025,1008096,1089893,1031414,1017902,1087579,1111343,1062319,1122332,1145658,1146895,1172378,1184022,1134770,1088076,1006753,912114,908841,868519,839143,801234,791222,756214,780173,796098,838352,817473,812829,781700,793075,830053
KS,TETCB,631796,618593,639952,641606,657588,724161,764078,722961,793944,839491,874412,908399,961348,966538,959918,925231,972888,981586,1037533,1132776,1022744,947908,946138,918421,1019959,1014562,975862,1017138,1071478,1044606,1066456,1061000,1047973,1075939,1101341,1065552,1095762,1085454,1073794,1093064,1100101,1048834,1084361,1124995,1105560,1049654,1077751,1159143,1154832,1134258,1162605,1157971,1129417,1163051
KY,CLPRB,1586449,1493944,1638552,1832508,1963792,2037285,2212066,2380970,2400532,2597581,3017565,2869275,2910525,3057325,3248065,3440044,3479209,3513197,3266591,3639650,3703362,3960803,3760412,3285634,3997384,3831439,3877067,4152114,4011842,4220066,4414362,4054871,4112739,3962427,4107496,3910027,3860466,3940216,3832682,3502887,3270194,3326940,3098985,2809836,2845496,2973897,3000879,2872880,2927900,2616139,2556093,2623804,2193276,1940060
KY,EMFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3490,3368,4167,4953,4818,4861,5091,4971,4687,4913
KY,NGMPB,86717,81661,80860,85917,89056,90916,88107,102649,102483,93596,89668,84370,75069,72538,82008,69666,75265,69159,80155,66719,70246,72067,64110,57451,73523,85907,90435,76070,80288,77854,81883,86639,88465,95194,81184,85917,89489,87437,88324,83000,87158,87105,94221,93027,101150,98070,101325,100808,121462,121953,146051,134516,119110,107053
KY,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,PAPRB,122653,106395,103176,106395,114678,112439,104783,90103,81409,74959,67135,62014,56272,50385,45455,43825,43401,38170,33199,31981,34487,37978,42624,45739,45107,45182,37555,33309,31656,31401,31372,31813,31778,26651,23275,20254,20892,17330,16942,16107,20097,17220,15782,14720,14778,14703,13572,15463,15341,15132,14610,13491,18548,16779
KY,REPRB,50751,48648,51423,47591,47022,47438,49311,61073,53358,51326,57023,61912,66566,67629,66669,66857,68110,64140,70514,82531,55822,55135,69360,64980,74709,69540,63267,60441,56441,73036,50476,56629,57999,47980,56671,51206,55143,47970,43480,38204,36052,53167,62832,65580,68865,66839,61713,55560,57954,69934,64708,69128,60266,74408
KY,ROPRB,50751,48648,51423,47591,47022,47438,49311,61073,53358,51326,57023,61912,66566,67629,66669,66857,68110,64140,70514,82531,55822,55135,69360,64980,74709,69540,63267,60441,56441,73036,50476,56629,57999,47980,56671,51206,55143,47970,43480,38204,36052,53167,62832,65580,65374,63472,57546,50608,53136,65073,59618,64157,55579,69495
KY,TEPRB,1846570,1730648,1874012,2072411,2214547,2288077,2454266,2634794,2637782,2817462,3231391,3077571,3108431,3247876,3442197,3620391,3665986,3684666,3450459,3820881,3863917,4125984,3936506,3453804,4190723,4032068,4068325,4321935,4180227,4402356,4578093,4229951,4290982,4132252,4268627,4067403,4025990,4092953,3981427,3640198,3413502,3484432,3271820,2983164,3030289,3153509,3177488,3044711,3122658,2823158,2781463,2840939,2391200,2138300
KY,TETCB,824167,819931,837570,889549,891616,901019,907302,954219,1014453,1073719,1105190,1118165,1203702,1237678,1229076,1279131,1401149,1414868,1401090,1433445,1368806,1297953,1262684,1277227,1375812,1330171,1304903,1341657,1419500,1509378,1462803,1487035,1548954,1588100,1635669,1704165,1722067,1730854,1689177,1776065,1767397,1797863,1949189,1882785,1956834,1983622,1974144,2044593,2009244,1928890,1976188,1901436,1861124,1822719
LA,CLPRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2825,30942,37765,40069,40917,43844,43663,45042,43348,47719,50748,44366,48648,43535,41115,50408,50817,51958,54642,51659,61534,57533,42871,54763,50481,54346,52440,53041,38079
LA,EMFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,206,216,211,199,208
LA,NGMPB,3202141,3505855,3777591,4209382,4474031,4786243,5444851,6125718,6874878,7744749,8345281,8670626,8561187,8855158,8312302,7658705,7551832,7754583,8059165,7824764,7467097,7292815,6691908,5765169,6289212,5413298,5281218,5535297,5604104,5500019,5667005,5490336,5348388,5392331,5589622,5527778,5748693,1906315,1882926,1891124,1790593,1799418,1659155,1605149,1617300,1520229,1578426,1584500,1568661,1737019,2426461,3240151,3058554,2513783
LA,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26102,112532,128688,146152,131136,150230,146317,108433,151238,133562,164812,165578,141785,172341,137016,164734,181041,180702,168069,178110,163598,174634,179127,160658,175524,194818,173859,164092,177156
LA,PAPRB,2324826,2464780,2767487,2987331,3188248,3450147,3911044,4492257,4741071,4898697,5260061,5424409,5172597,4822839,4276479,3774872,3517706,3264849,3089892,2840185,2721018,1157558,1094744,1041779,1084664,1069572,1054388,1015157,957035,889111,855976,853006,829835,804303,733607,712733,766476,777977,778476,696046,611465,606738,541262,522104,482978,436154,427002,446478,419647,390270,390224,400020,409758,416515
LA,REPRB,38992,37174,36785,39147,39291,38299,39754,37685,40791,40698,41620,41912,44819,45748,44928,42358,45170,46692,47825,44717,64707,68263,69667,74654,78627,78537,99811,100062,103943,129287,125200,127510,130800,137492,147247,151600,152445,149631,147485,148311,142332,136090,140943,148616,185649,151318,149472,150024,109436,107170,104892,106551,104129,119068
LA,ROPRB,38992,37174,36785,39147,39291,38299,39754,37685,40791,40698,41620,41912,44819,45748,44928,42358,45170,46692,47825,44717,64707,68263,69667,74654,78627,78537,99811,100062,103943,129287,125200,127510,130800,137492,147247,151600,152445,149631,147485,148311,142332,136090,140943,148616,185649,151318,149472,150024,109299,106964,104676,106340,103930,118859
LA,TEPRB,5565958,6007809,6581864,7235860,7701570,8274690,9395650,10655659,11656740,12684144,13646962,14136948,13778603,13723745,12633709,11475935,11114708,11066123,11196882,10709666,10252821,8518636,7856319,6881602,7452503,6590335,6578891,6816968,6851304,6690470,6842255,6660832,6462498,6528713,6651758,6607670,6877558,3024355,3024763,2913612,2759532,2774104,2574020,2498580,2515696,2332834,2387067,2403000,2313165,2460464,3170741,3973021,3789574,3264602
